Item Name,KOSPI,BondVol,Call1D,Market2yr,GDP,STKturnover,Real_ind,Money,STKvol
2000-12-29,504.62,931070,5.32,6.87,576872.8,37.7,52.07,18106.7,7349293
2000-12-30,504.62,931070,6.01,6.87,576872.8,37.7,52.07,18106.7,7349293
2000-12-31,504.62,760313,6.01,6.87,635200,26.6,51.74,19005.1,5199282
2001-01-01,504.62,760313,6.01,6.87,635200,26.6,51.74,19005.1,5199282
2001-01-02,520.95,760313,5.26,6.8,635200,26.6,51.74,19005.1,5199282
2001-01-03,521.43,760313,5.26,6.74,635200,26.6,51.74,19005.1,5199282
2001-01-04,558.02,760313,5.28,6.47,635200,26.6,51.74,19005.1,5199282
2001-01-05,580.85,760313,5.32,6.25,635200,26.6,51.74,19005.1,5199282
2001-01-06,580.85,760313,5.17,6.25,635200,26.6,51.74,19005.1,5199282
2001-01-07,580.85,760313,5.17,6.25,635200,26.6,51.74,19005.1,5199282
2001-01-08,586.65,760313,5.3,6.16,635200,26.6,51.74,19005.1,5199282
2001-01-09,589.92,760313,5.28,6.19,635200,26.6,51.74,19005.1,5199282
2001-01-10,560.81,760313,5.31,6.19,635200,26.6,51.74,19005.1,5199282
2001-01-11,561.79,760313,5.3,6.06,635200,26.6,51.74,19005.1,5199282
2001-01-12,587.87,760313,5.14,6.11,635200,26.6,51.74,19005.1,5199282
2001-01-13,587.87,760313,5.21,6.11,635200,26.6,51.74,19005.1,5199282
2001-01-14,587.87,760313,5.21,6.11,635200,26.6,51.74,19005.1,5199282
2001-01-15,599,760313,5.28,6.07,635200,26.6,51.74,19005.1,5199282
2001-01-16,603.42,760313,5.29,5.99,635200,26.6,51.74,19005.1,5199282
2001-01-17,595.83,760313,5.3,5.97,635200,26.6,51.74,19005.1,5199282
2001-01-18,604.05,760313,5.33,5.95,635200,26.6,51.74,19005.1,5199282
2001-01-19,619.78,760313,5.64,5.95,635200,26.6,51.74,19005.1,5199282
2001-01-20,619.78,760313,5.2,5.95,635200,26.6,51.74,19005.1,5199282
2001-01-21,619.78,760313,5.2,5.95,635200,26.6,51.74,19005.1,5199282
2001-01-22,627.45,760313,5.09,5.95,635200,26.6,51.74,19005.1,5199282
2001-01-23,627.45,760313,5.09,5.95,635200,26.6,51.74,19005.1,5199282
2001-01-24,627.45,760313,5.09,5.95,635200,26.6,51.74,19005.1,5199282
2001-01-25,627.45,760313,5.09,5.95,635200,26.6,51.74,19005.1,5199282
2001-01-26,591.73,760313,5.36,5.97,635200,26.6,51.74,19005.1,5199282
2001-01-27,591.73,760313,5.12,5.97,635200,26.6,51.74,19005.1,5199282
